NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:33
DATA_INCLUDED	Velocity
DATA_TYPES	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z

Frame	Time	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z	
492	4.91000	296.331	351.990	104.147	297.908	346.187	111.866	309.379	364.942	99.970	296.853	357.561	100.146	297.353	358.161	92.018
493	4.92000	295.839	360.305	100.042	302.191	362.276	93.640	304.169	359.949	84.270	298.024	350.907	89.437	300.173	354.332	79.611
494	4.93000	313.425	375.556	92.076	303.205	371.153	87.566	306.947	358.126	85.932	301.857	364.381	85.484	306.187	356.649	88.007
495	4.94000	317.855	355.951	89.482	312.943	360.531	87.536	305.613	358.343	87.967	313.126	360.186	90.738	311.990	368.127	88.160
496	4.95000	311.059	350.662	82.039	325.744	359.428	87.798	316.968	372.353	72.224	321.962	355.640	78.444	315.528	363.301	76.653
497	4.96000	328.497	374.117	82.981	315.794	364.511	76.044	332.097	367.948	85.532	328.890	366.408	75.292	327.211	358.374	78.967
498	4.97000	333.518	374.192	79.378	316.413	370.189	67.839	322.272	358.191	75.793	322.146	367.928	75.853	334.965	363.942	75.211
499	4.98000	323.461	360.669	68.160	329.360	364.140	71.890	336.187	374.527	65.413	336.166	375.828	76.725	331.203	369.592	67.708
500	4.99000	323.267	359.746	61.929	338.037	373.880	65.629	347.429	383.349	62.201	337.715	366.137	60.804	341.248	370.799	67.006
501	5.00000	340.917	362.846	70.960	344.306	378.632	60.585	348.911	373.949	78.236	341.963	371.414	67.030	346.828	364.096	73.047
502	5.01000	348.273	370.331	63.119	333.709	379.480	55.591	348.383	367.725	68.902	351.378	375.882	65.735	355.875	362.738	73.185
503	5.02000	345.916	369.969	51.516	346.113	381.527	49.321	358.134	387.632	48.695	350.311	375.802	51.500	360.687	375.613	65.219
504	5.03000	349.669	364.990	48.128	359.105	373.569	53.103	372.437	386.597	59.710	357.903	379.760	55.442	365.563	378.614	63.266
505	5.04000	363.727	379.660	48.141	351.765	390.280	53.772	370.130	376.397	66.558	366.613	384.044	50.587	372.645	366.267	53.436
506	5.05000	365.619	375.799	55.382	360.395	386.159	44.656	375.696	391.059	63.467	376.100	382.802	58.054	375.188	364.308	52.594
507	5.06000	358.824	361.641	54.248	370.782	384.423	43.869	387.575	397.882	41.535	375.005	373.178	54.809	388.213	377.598	50.855
508	5.07000	367.020	377.490	43.352	370.880	403.864	42.871	387.602	393.851	35.566	374.006	387.662	38.912	394.783	384.957	59.533
509	5.08000	381.982	383.968	38.650	373.404	399.850	33.246	395.056	396.214	38.726	386.953	394.286	41.755	390.279	376.520	45.287
510	5.09000	382.403	377.427	37.000	379.496	397.846	32.608	395.122	397.494	38.094	390.015	392.643	40.173	391.930	375.361	42.644
511	5.10000	382.683	379.815	44.035	375.144	398.642	37.268	395.433	398.954	36.531	402.875	393.068	47.797	409.698	384.054	52.074
512	5.11000	388.262	383.123	42.807	390.014	398.284	42.920	406.574	390.876	37.748	402.849	389.694	39.950	414.643	385.151	44.918
513	5.12000	390.021	377.976	37.412	404.219	404.769	43.501	416.645	397.611	47.745	401.391	395.345	38.048	411.355	379.744	35.708
514	5.13000	400.880	387.898	39.601	407.288	404.291	39.339	424.212	413.740	40.374	411.077	399.370	38.815	422.226	389.064	38.727
515	5.14000	406.847	388.520	39.283	403.363	413.737	32.263	427.464	417.755	31.033	410.716	395.814	28.425	433.414	384.961	38.001
516	5.15000	403.828	374.555	38.122	403.706	414.277	28.276	442.018	414.867	28.260	422.289	399.468	33.723	431.625	381.212	26.847
517	5.16000	414.107	393.636	31.843	409.682	415.622	25.352	442.954	416.070	24.808	429.484	399.617	33.128	438.368	394.399	33.042
518	5.17000	419.894	394.898	39.718	414.955	424.626	29.946	440.805	423.717	25.148	434.812	404.772	33.011	451.444	392.560	31.700
519	5.18000	422.846	395.044	35.628	426.263	425.045	34.313	444.123	419.334	24.477	444.387	408.394	32.445	444.482	378.824	32.462
520	5.19000	427.555	400.664	39.563	432.808	422.799	29.160	450.926	415.049	23.475	440.990	408.171	30.642	452.261	392.695	38.485
521	5.20000	431.284	388.144	50.209	436.322	416.236	29.293	460.097	420.499	23.356	441.572	413.744	31.814	460.180	406.484	36.132
522	5.21000	441.057	398.707	43.665	432.734	428.749	30.905	462.784	426.317	20.999	451.999	413.693	27.814	465.834	408.691	29.526
523	5.22000	442.395	401.900	43.288	433.381	430.691	28.567	471.462	428.243	25.147	456.151	413.267	28.872	477.287	405.629	41.908
524	5.23000	449.078	407.092	41.963	446.896	424.698	26.126	475.003	432.825	23.870	461.922	418.309	35.569	476.723	403.156	39.168
