NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:24:13
DATA_INCLUDED	Position
DATA_TYPES	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z

Frame	Time	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z	
502	5.01000	364.294	481.306	267.547	512.470	479.394	254.166	510.243	330.471	262.104	442.516	404.103	283.491	362.892	330.421	272.324
503	5.02000	367.711	485.062	268.016	515.710	483.336	254.669	513.691	334.247	262.447	445.964	407.757	283.903	366.570	334.045	272.960
504	5.03000	371.212	488.705	268.578	519.393	487.025	255.152	517.406	338.223	263.078	449.522	411.619	284.521	370.105	337.934	273.628
505	5.04000	374.704	492.361	268.978	522.892	490.807	255.731	521.140	341.979	263.641	453.122	415.352	285.011	373.882	341.618	274.226
506	5.05000	378.487	496.299	269.540	526.428	494.830	256.228	524.809	345.751	264.409	456.854	419.300	285.533	377.558	345.259	274.697
507	5.06000	382.017	499.877	270.086	530.100	498.530	256.624	528.654	349.800	264.910	460.644	423.008	286.173	381.385	348.904	275.278
508	5.07000	385.663	503.532	270.625	533.843	502.519	257.105	532.560	353.709	265.240	464.355	426.763	286.629	385.322	352.811	275.714
509	5.08000	389.357	507.427	270.953	537.518	506.608	257.482	536.406	357.677	265.621	468.124	430.761	286.951	389.281	356.603	276.468
510	5.09000	393.303	511.211	271.398	541.312	510.516	257.770	540.461	361.633	266.014	472.094	434.649	287.464	393.128	360.341	276.620
511	5.10000	397.005	514.976	271.693	545.108	514.565	258.134	544.309	365.627	266.383	475.924	438.614	287.754	397.120	364.110	277.321
512	5.11000	400.957	518.807	272.279	548.814	518.489	258.516	548.370	369.612	266.745	480.151	442.511	288.420	401.322	368.022	277.661
513	5.12000	404.770	522.638	272.549	552.908	522.530	258.992	552.440	373.444	267.138	483.981	446.408	288.553	405.412	371.813	278.219
514	5.13000	408.757	526.367	273.027	556.899	526.584	259.386	556.703	377.564	267.700	488.179	450.417	289.181	409.549	375.617	278.375
515	5.14000	412.788	530.396	273.341	561.054	530.616	259.779	560.924	381.719	267.946	492.203	454.395	289.330	413.857	379.595	278.994
516	5.15000	416.894	534.137	273.813	564.966	534.859	260.031	565.252	385.920	268.321	496.393	458.334	289.749	418.217	383.317	279.135
517	5.16000	420.864	537.887	274.104	569.128	538.902	260.344	569.765	390.017	268.511	500.648	462.385	290.004	422.490	387.219	279.531
518	5.17000	425.176	542.010	274.450	573.160	543.171	260.538	574.111	394.241	268.817	504.983	466.326	290.412	426.985	391.205	279.796
519	5.18000	429.262	545.785	274.898	577.427	547.394	260.943	578.581	398.491	269.014	509.345	470.480	290.664	431.518	395.070	280.165
520	5.19000	433.633	549.911	275.162	581.685	551.672	261.224	582.994	402.628	269.306	513.871	474.494	291.061	435.874	398.781	280.445
